Country,Year,Suicides number,Life expectancy,Adult Mortality,Infant deaths,Alcohol,Under-five deaths,HIV/AIDS,GDP,Population,Income composition of resources,Schooling
Austria,2012,1276.0,88.0,7.0,0,12.26,0,0.1,48333.57273,8429991.0,0.884,15.7
Austria,2013,1291.0,81.1,68.0,0,11.82,0,0.1,554.71532,8479375.0,0.887,15.7
Austria,2014,1314.0,81.4,66.0,0,12.32,0,0.1,51322.63997,8541575.0,0.892,15.9
Austria,2015,1251.0,81.5,65.0,0,12.32,0,0.1,43665.947,8633169.0,0.892,15.9
Azerbaijan,2000,62.0,66.6,16.0,9,0.65,11,0.1,655.974326,8486.0,0.636,10.1
Azerbaijan,2001,317.0,67.5,151.0,8,0.51,10,0.1,73.6838434,81112.0,0.642,10.4
Azerbaijan,2002,92.0,67.8,146.0,7,0.55,9,0.1,763.73858,817195.0,0.651,10.6
Azerbaijan,2003,129.0,67.8,154.0,7,0.55,8,0.1,883.6439965,82341.0,0.659,10.8
Azerbaijan,2004,108.0,68.4,154.0,6,0.62,8,0.1,145.2163,8365.0,0.668,11.0
Azerbaijan,2007,55.0,73.0,14.0,6,1.02,7,0.1,3851.437869,85813.0,0.708,11.6
Bahamas,2000,11.0,72.6,192.0,0,12.15,0,0.1,3851.437869,269738.0,0.0,12.0
Bahamas,2001,1.0,72.9,189.0,0,11.64,0,0.2,3851.437869,276140.0,0.779,12.1
Bahamas,2002,3.0,73.1,19.0,0,10.85,0,0.1,3851.437869,282555.0,0.781,12.1
Bahamas,2003,1.0,73.2,189.0,0,10.68,0,0.1,3851.437869,288888.0,0.783,12.2
Bahamas,2004,2.0,73.8,174.0,0,10.1,0,0.1,3851.437869,295237.0,0.784,12.3
Bahamas,2005,4.0,74.1,172.0,0,10.49,0,0.1,3851.437869,301763.0,0.786,12.4
Bahamas,2006,2.0,74.2,171.0,0,11.07,0,0.1,3851.437869,308499.0,0.788,12.4
Bahamas,2007,5.0,74.4,167.0,0,10.75,0,0.1,3851.437869,314989.0,0.79,12.5
Bahamas,2008,4.0,74.5,167.0,0,10.15,0,0.1,3851.437869,321447.0,0.791,12.6
Bahamas,2009,6.0,74.6,168.0,0,9.29,0,0.1,3851.437869,327813.0,0.791,12.6
Bahamas,2010,10.0,75.0,161.0,0,9.19,0,0.2,3851.437869,333869.0,0.788,12.6
Bahamas,2011,4.0,75.0,162.0,0,9.34,0,0.1,3851.437869,338383.0,0.788,12.6
Bahamas,2012,5.0,74.9,167.0,0,9.5,0,0.2,3851.437869,343558.0,0.789,12.6
Bahamas,2013,5.0,74.8,172.0,0,9.42,0,0.1,3851.437869,348959.0,0.79,12.6
Bahrain,2000,29.0,74.5,92.0,0,2.15,0,0.1,13636.34668,590594.0,0.786,13.2
Bahrain,2001,23.0,74.7,9.0,0,1.95,0,0.1,12868.211,624083.0,0.794,13.3
Bahrain,2002,25.0,74.9,87.0,0,1.99,0,0.1,1312.33457,661010.0,0.796,13.5
Bahrain,2003,34.0,75.0,85.0,0,2.16,0,0.1,14221.99259,702913.0,0.798,13.7
Bahrain,2004,42.0,75.2,83.0,0,2.16,0,0.1,15846.47641,751559.0,0.803,13.9
Bahrain,2005,42.0,75.3,81.0,0,2.05,0,0.1,17959.17854,819540.0,0.806,14.0
Bahrain,2006,28.0,75.5,79.0,0,2.1,0,0.1,1937.99549,888543.0,0.81,14.2
Bahrain,2007,40.0,75.6,77.0,0,2.0,0,0.1,2977.1153,964770.0,0.813,14.4
Bahrain,2008,43.0,75.8,76.0,0,2.0,0,0.1,2367.56535,1024110.0,0.815,14.4
Bahrain,2009,36.0,76.0,74.0,0,1.95,0,0.1,19356.67236,1092922.0,0.814,14.4
Bahrain,2010,19.0,76.1,73.0,0,1.93,0,0.1,2722.1389,1139160.0,0.81,14.4
Bahrain,2011,18.0,76.1,76.0,0,1.66,0,0.1,2281.1242,1103462.0,0.812,14.4
Bahrain,2012,19.0,76.5,71.0,0,1.7,0,0.1,23649.36661,1201778.0,0.812,14.5
Bahrain,2013,5.0,76.7,7.0,0,1.65,0,0.1,251.18329,1214492.0,0.815,14.5
Bahrain,2014,9.0,76.8,7.0,0,1.57,0,0.1,24983.3792,1213966.0,0.82,14.5
Barbados,2000,10.0,73.3,127.0,0,7.43,0,0.9,11568.1111,251133.0,0.741,14.0
Barbados,2001,2.0,73.4,125.0,0,7.38,0,0.7,11513.87189,252406.0,0.75,14.0
Barbados,2002,0.0,73.5,123.0,0,7.59,0,0.8,11675.39395,253353.0,0.749,14.0
Barbados,2003,0.0,73.7,121.0,0,7.65,0,0.4,1228.5447,254122.0,0.753,14.2
Barbados,2004,3.0,73.8,119.0,0,7.68,0,0.2,12868.8639,254925.0,0.757,14.4
Barbados,2005,1.0,73.9,117.0,0,8.01,0,0.1,14223.86576,255889.0,0.761,14.6
Barbados,2006,9.0,74.1,115.0,0,8.39,0,0.1,15646.5591,256883.0,0.766,14.8
Barbados,2007,0.0,74.2,113.0,0,8.47,0,0.1,16462.48556,258083.0,0.771,15.0
Barbados,2008,1.0,74.4,111.0,0,8.95,0,0.1,1657.3228,259414.0,0.775,15.3
Barbados,2009,5.0,74.6,19.0,0,8.46,0,0.1,16523.32388,260718.0,0.779,15.5
Barbados,2010,3.0,74.7,16.0,0,8.41,0,0.1,1595.91232,261927.0,0.781,15.8
Barbados,2011,0.0,74.9,14.0,0,8.51,0,0.1,15534.1574,263203.0,0.78,15.5
Barbados,2012,0.0,75.1,12.0,0,8.61,0,0.1,15384.8749,264270.0,0.785,15.3
Barbados,2013,0.0,75.2,11.0,0,8.74,0,0.1,15472.7814,265165.0,0.792,15.3
Belarus,2000,3483.0,68.0,247.0,1,12.98,1,0.1,1276.28834,997961.0,0.675,13.1
Belarus,2001,3303.0,67.7,254.0,1,10.74,1,0.1,1244.373185,9928549.0,0.681,13.3
Belarus,2002,3291.0,67.2,262.0,1,12.23,1,0.1,1479.383142,9865548.0,0.687,13.6
Belarus,2003,3456.0,67.7,253.0,1,11.17,1,0.1,1819.525644,9796749.0,0.695,13.9
Belarus,2007,2659.0,69.8,226.0,1,14.22,1,0.1,4735.484827,956953.0,0.739,14.9
Belarus,2008,2658.0,70.0,224.0,1,14.67,1,0.1,6376.183153,9527985.0,0.755,15.1
Belarus,2009,2743.0,70.0,226.0,0,14.09,1,0.1,5176.172649,956765.0,0.771,15.4
Belarus,2010,2459.0,73.0,222.0,0,14.44,1,0.1,63.38877,949583.0,0.78,15.5
Belarus,2011,2172.0,72.0,232.0,0,17.31,1,0.1,6519.71753,9473172.0,0.787,15.5
Belarus,2013,1902.0,71.7,23.0,0,14.66,1,0.1,7978.825443,9465997.0,0.796,15.7
Belarus,2014,1741.0,72.0,199.0,0,13.94,0,0.1,8318.429294,9474511.0,0.796,15.7
Belgium,2000,2143.0,77.6,11.0,1,11.21,1,0.1,2327.4591,125125.0,0.869,18.0
Belgium,2001,2165.0,78.0,1.0,1,11.01,1,0.1,23121.56635,128657.0,0.873,18.2
Belgium,2002,2076.0,78.0,99.0,1,11.29,1,0.1,2552.3328,1332785.0,0.875,18.8
Belgium,2003,2091.0,78.3,95.0,0,11.28,1,0.1,3743.95693,1376133.0,0.878,18.6
Belgium,2004,1987.0,78.8,91.0,1,12.05,1,0.1,35589.71295,1421137.0,0.88,18.8
Belgium,2005,2029.0,78.9,89.0,0,12.27,1,0.1,36967.28292,1478617.0,0.861,15.7
Belgium,2006,1935.0,79.4,85.0,0,10.98,1,0.1,38852.3613,1547958.0,0.865,15.7
Belgium,2007,1857.0,79.5,86.0,0,10.25,1,0.1,4443.83131,16257.0,0.871,15.8
Belgium,2008,1999.0,79.5,87.0,0,10.47,1,0.1,48424.58927,179973.0,0.874,15.8
Belgium,2009,2013.0,79.8,85.0,0,10.05,1,0.1,4488.5615,1796493.0,0.876,15.8
Belgium,2010,2013.0,80.0,81.0,0,10.22,1,0.1,4438.23741,1895586.0,0.878,15.9
Belgium,2011,2088.0,83.0,8.0,0,10.11,1,0.1,4772.77415,1147744.0,0.884,16.1
Belgium,2012,2026.0,83.0,78.0,0,10.08,1,0.1,4474.5717,11128246.0,0.886,16.2
Belgium,2013,1895.0,87.0,77.0,0,11.77,1,0.1,4651.38647,11182817.0,0.889,16.3
Belgium,2014,1899.0,89.0,76.0,0,12.6,1,0.1,47439.39684,112957.0,0.89,16.3
Belgium,2015,1867.0,81.1,74.0,0,12.6,1,0.1,4356.875,11274196.0,0.895,16.6
Belize,2000,18.0,68.3,196.0,0,4.79,0,0.3,3364.423711,247315.0,0.668,11.7
Belize,2001,19.0,68.2,21.0,0,4.9,0,0.4,3419.275719,254984.0,0.677,11.8
Belize,2002,14.0,68.5,199.0,0,4.99,0,0.1,3556.561825,26226.0,0.678,11.9
Belize,2003,12.0,68.4,21.0,0,5.67,0,1.5,3679.99523,26913.0,0.684,12.2
Belize,2004,20.0,68.7,197.0,0,6.2,0,0.8,3831.53819,27689.0,0.691,12.5
Belize,2005,12.0,69.0,191.0,0,6.25,0,0.8,3933.332215,283277.0,0.695,12.8
Belize,2006,11.0,69.4,184.0,0,6.48,0,0.6,4187.3783,29747.0,0.692,12.3
Belize,2007,8.0,69.6,181.0,0,7.24,0,0.6,4324.876427,29847.0,0.7,12.8
Belize,2008,11.0,69.6,181.0,0,7.22,0,0.1,447.22796,36165.0,0.699,12.8
Belize,2009,15.0,69.5,184.0,0,6.85,0,0.3,4258.788611,313929.0,0.7,12.7
Belize,2010,15.0,69.5,186.0,0,6.76,0,0.2,4344.15177,32168.0,0.7,12.4
Belize,2011,33.0,69.4,188.0,0,6.64,0,0.5,4516.24675,329192.0,0.7,12.4
Belize,2012,18.0,69.4,189.0,0,6.66,0,0.1,4673.63848,33671.0,0.702,12.5
Belize,2013,17.0,69.8,18.0,0,6.56,0,0.2,4688.538443,344181.0,0.706,12.9
Belize,2014,24.0,70.0,177.0,0,6.58,0,0.2,4852.223666,351694.0,0.705,12.8
Belize,2015,26.0,71.0,175.0,0,6.58,0,0.2,4849.997495,359288.0,0.706,12.8
Bosnia and Herzegovina,2011,5.0,76.9,92.0,0,4.64,0,0.1,55.156834,3688865.0,0.711,13.4
Bosnia and Herzegovina,2014,313.0,77.2,89.0,0,4.03,0,0.1,5193.94932,35662.0,0.742,14.2
Brazil,2000,6763.0,75.0,183.0,111,7.26,127,0.1,3739.11936,175287587.0,0.677,14.1
Brazil,2001,7710.0,71.0,179.0,103,7.13,118,0.1,3146.95177,1777567.0,0.685,14.3
Brazil,2002,7697.0,71.4,176.0,95,7.0,109,0.1,2819.649531,1815121.0,0.692,14.6
Brazil,2003,7839.0,71.8,172.0,88,6.95,100,0.1,359.587582,182482149.0,0.699,14.8
Brazil,2004,7995.0,72.0,17.0,81,6.85,93,0.1,3623.47667,184738458.0,0.695,14.0
Brazil,2005,8529.0,72.7,163.0,75,6.97,85,0.1,477.182746,186917361.0,0.694,13.8
Brazil,2006,8618.0,73.0,161.0,70,7.1,79,0.1,586.145975,18912412.0,0.698,13.8
Brazil,2007,8855.0,73.3,159.0,65,7.19,73,0.1,7313.557962,19126637.0,0.7,13.5
Brazil,2008,9184.0,73.4,158.0,61,7.21,68,0.1,8787.61375,19297929.0,0.704,13.3
Brazil,2009,9346.0,73.6,157.0,57,7.33,64,0.1,8553.3847,194895996.0,0.714,13.8
Brazil,2010,9429.0,73.8,154.0,54,7.52,61,0.1,11224.1548,196796269.0,0.716,13.8
Brazil,2011,9822.0,74.1,152.0,51,7.58,57,0.1,13167.47289,198686688.0,0.724,14.0
Brazil,2012,10295.0,74.5,148.0,49,7.55,54,0.1,12291.46685,256983.0,0.73,14.2
Brazil,2013,10513.0,74.7,146.0,46,7.24,52,0.1,12216.9446,2248632.0,0.734,14.2
Brazil,2014,10631.0,74.8,144.0,44,7.32,49,0.1,1226.61731,24213133.0,0.747,15.2
Brazil,2015,11163.0,75.0,142.0,42,7.32,47,0.1,8757.2622,2596218.0,0.754,15.2
Brunei Darussalam,2000,5.0,74.4,16.0,0,0.37,0,0.1,188.44826,298374.0,0.818,13.4
Brunei Darussalam,2001,4.0,74.7,19.0,0,0.47,0,0.1,16468.12886,298563.0,0.819,13.4
Brunei Darussalam,2002,1.0,74.8,95.0,0,0.13,0,0.1,16846.2198,303100.0,0.82,13.3
Brunei Darussalam,2003,5.0,76.0,89.0,0,0.12,0,0.1,18555.56649,302800.0,0.823,13.4
Brunei Darussalam,2004,3.0,76.4,89.0,0,0.11,0,0.1,21896.6527,324800.0,0.828,13.7
Brunei Darussalam,2005,7.0,76.2,92.0,0,0.16,0,0.1,2612.13345,335400.0,0.834,14.1
Brunei Darussalam,2006,10.0,76.3,93.0,0,0.67,0,0.1,398.96692,347900.0,0.837,14.3
Brunei Darussalam,2007,10.0,76.0,1.0,0,0.85,0,0.1,32672.36717,342714.0,0.84,14.3
Brunei Darussalam,2008,9.0,77.2,84.0,0,0.67,0,0.1,37951.286,347549.0,0.84,14.2
Brunei Darussalam,2009,2.0,76.8,88.0,0,0.25,0,0.1,27965.4754,352328.0,0.841,14.1
Brunei Darussalam,2010,5.0,76.9,79.0,0,0.88,0,0.1,35268.1117,379000.0,0.845,14.2
Brunei Darussalam,2011,5.0,77.4,79.0,0,0.97,0,0.1,4717.273,387600.0,0.846,14.1
Brunei Darussalam,2012,8.0,78.3,79.0,0,0.01,0,0.1,47651.2599,368700.0,0.852,14.4
Brunei Darussalam,2013,4.0,77.1,84.0,0,0.01,0,0.1,44597.27968,373361.0,0.86,14.9
Brunei Darussalam,2014,5.0,77.6,8.0,0,0.01,0,0.1,4159.8652,378656.0,0.863,15.0
Brunei Darussalam,2015,7.0,77.7,78.0,0,0.01,0,0.1,3967.8951,384080.0,0.864,14.9
Bulgaria,2000,1383.0,71.1,163.0,1,9.69,1,0.1,169.28586,817172.0,0.709,12.9
Bulgaria,2001,1314.0,71.6,16.0,1,10.72,1,0.1,1764.97387,89142.0,0.713,12.9
Bulgaria,2002,1317.0,71.8,157.0,1,10.2,1,0.1,287.534843,7837161.0,0.723,12.9
Bulgaria,2003,1092.0,72.0,155.0,1,11.19,1,0.1,271.46824,7775327.0,0.729,12.9
Bulgaria,2004,1013.0,72.2,157.0,1,10.96,1,0.1,3381.57837,771686.0,0.738,13.3
Bulgaria,2005,982.0,72.1,16.0,1,10.48,1,0.1,3893.68998,7658972.0,0.745,13.5
Bulgaria,2006,977.0,72.2,161.0,1,10.39,1,0.1,4513.13628,76122.0,0.75,13.5
Bulgaria,2007,902.0,72.6,157.0,1,10.89,1,0.1,5932.899677,7545338.0,0.755,13.5
Bulgaria,2008,939.0,72.9,155.0,1,10.98,1,0.1,7296.122479,7492561.0,0.761,13.8
Bulgaria,2009,868.0,73.2,152.0,1,10.93,1,0.1,6955.987733,7444443.0,0.768,13.8
Bulgaria,2010,859.0,73.4,147.0,1,10.8,1,0.1,6843.263289,7395599.0,0.77,13.9
Bulgaria,2011,763.0,73.7,144.0,1,10.67,1,0.1,7813.83499,7348328.0,0.775,14.2
Bulgaria,2012,872.0,73.9,139.0,1,10.99,1,0.1,7378.25539,735888.0,0.778,14.3
Bulgaria,2013,721.0,74.1,14.0,1,12.06,1,0.1,7674.86559,7265115.0,0.781,14.4
Bulgaria,2014,724.0,74.3,138.0,1,12.03,1,0.1,7853.335191,7223938.0,0.787,14.8
Cabo Verde,2011,42.0,72.6,122.0,0,5.07,0,0.3,367.429453,5867.0,0.632,13.1
Canada,2000,3606.0,79.1,82.0,2,7.6,2,0.1,24124.16917,37697.0,0.864,15.9
Canada,2001,3694.0,79.4,8.0,2,7.6,2,0.1,23691.59472,31819.0,0.867,15.8
Canada,2002,3650.0,79.5,79.0,2,7.7,2,0.1,24167.8431,31362.0,0.872,15.8
Canada,2003,3765.0,79.7,78.0,2,7.7,2,0.1,28172.14883,31676.0,0.877,15.8
Canada,2004,3613.0,80.0,77.0,2,7.8,2,0.1,31979.87195,31995.0,0.881,15.8
Canada,2005,3743.0,81.0,76.0,2,8.0,2,0.1,36189.58838,32312.0,0.886,15.8
Canada,2006,3512.0,85.0,75.0,2,8.2,2,0.1,4386.69948,325755.0,0.891,15.8
Canada,2007,3611.0,85.0,74.0,2,8.3,2,0.1,44544.5268,32887928.0,0.894,15.8
Canada,2008,3705.0,87.0,74.0,2,8.3,2,0.1,46596.33599,33245773.0,0.897,15.8
Canada,2009,3890.0,81.0,72.0,2,8.4,2,0.1,4773.45436,33628571.0,0.898,15.9
Canada,2010,3951.0,81.2,7.0,2,8.4,2,0.1,47447.4762,345274.0,0.898,15.9
Canada,2011,3728.0,81.5,68.0,2,8.2,2,0.1,5282.2176,3434278.0,0.903,15.9
Canada,2012,3926.0,81.6,68.0,2,8.3,2,0.1,52496.69487,3475545.0,0.907,15.9
Canada,2013,4054.0,81.8,67.0,2,8.2,2,0.1,52413.72116,35155451.0,0.909,15.9
Chile,2000,1473.0,77.3,13.0,2,6.24,3,0.1,511.368479,15262754.0,0.755,13.5
Chile,2001,1625.0,77.3,16.0,2,6.1,3,0.1,4595.666327,15444969.0,0.761,13.7
Chile,2002,1603.0,77.8,11.0,2,6.06,3,0.1,4463.545867,15623635.0,0.768,13.9
Chile,2003,1654.0,77.9,1.0,2,6.37,2,0.1,4787.699532,15799542.0,0.775,14.0
Chile,2004,1735.0,78.0,97.0,2,6.32,2,0.1,621.828325,15973778.0,0.781,14.3
Chile,2005,1682.0,78.4,93.0,2,7.57,2,0.1,7615.3468,1614764.0,0.79,14.6
Chile,2006,1795.0,78.9,91.0,2,7.33,2,0.1,9484.681227,16319792.0,0.796,14.9
Chile,2007,1848.0,78.9,9.0,2,7.39,2,0.1,1526.87746,16491687.0,0.797,14.8
Chile,2008,2088.0,79.6,88.0,2,7.31,2,0.1,1781.3668,16661942.0,0.804,15.2
Chile,2009,2148.0,79.3,91.0,2,7.67,2,0.1,1243.32824,16829442.0,0.816,15.3
Chile,2010,2001.0,79.1,89.0,2,7.93,2,0.1,1286.17764,16993354.0,0.815,15.2
Chile,2011,2027.0,79.8,86.0,2,7.26,2,0.1,1475.69242,17153357.0,0.82,15.4
Chile,2012,1841.0,79.9,84.0,2,6.76,2,0.1,15431.9293,1739746.0,0.826,15.5
Chile,2013,1738.0,81.0,84.0,2,7.2,2,0.1,15941.39722,17462982.0,0.831,15.6
Chile,2014,1789.0,83.0,83.0,2,7.16,2,0.1,14817.37778,17613798.0,0.841,16.2
Chile,2015,1838.0,85.0,82.0,2,7.16,2,0.1,13653.2264,17762681.0,0.845,16.3
Colombia,2000,2358.0,71.4,167.0,18,4.66,21,0.1,2472.197831,443958.0,0.65,11.3
Colombia,2001,2412.0,71.5,165.0,17,4.43,21,0.1,2395.856551,498899.0,0.653,11.4
Colombia,2002,2379.0,71.8,163.0,17,4.45,20,0.1,2355.725857,41572491.0,0.656,11.5
Colombia,2003,2269.0,72.4,15.0,16,4.25,19,0.1,2246.257472,42152151.0,0.659,11.6
Colombia,2004,2244.0,72.8,148.0,16,4.26,19,0.1,274.249442,42724163.0,0.658,11.3
Colombia,2005,2102.0,73.1,144.0,15,4.38,18,0.1,3386.256,43285634.0,0.658,11.1
